Request id,Pickup point,Status,Request timestamp,Request Date,Request hour,Time Slot,Drop timestamp
1167,Airport,Trip Completed,11-07-2016 20:50,11-07-2016,20,Night,11-07-2016 21:52
2661,Airport,Trip Completed,12-07-2016 23:23,12-07-2016,23,Night,13-07-2016 00:27
2808,City,Trip Completed,13-07-2016 05:05,13-07-2016,5,Early Morning,13-07-2016 05:56
3258,Airport,Trip Completed,13-07-2016 10:12,13-07-2016,10,Morning,13-07-2016 10:45
3413,Airport,Trip Completed,13-07-2016 15:32,13-07-2016,15,Afternoon,13-07-2016 16:45
3939,Airport,Trip Completed,13-07-2016 22:26,13-07-2016,22,Night,13-07-2016 22:55
4125,City,Trip Completed,14-07-2016 04:37,14-07-2016,4,Early Morning,14-07-2016 05:46
4457,City,Trip Completed,14-07-2016 08:36,14-07-2016,8,Morning,14-07-2016 09:19
4728,City,Trip Completed,14-07-2016 14:04,14-07-2016,14,Afternoon,14-07-2016 15:06
5347,Airport,Trip Completed,14-07-2016 22:51,14-07-2016,22,Night,14-07-2016 23:53
6147,City,Trip Completed,15-07-2016 16:11,15-07-2016,16,Evening,15-07-2016 17:30
6496,Airport,Trip Completed,15-07-2016 20:33,15-07-2016,20,Night,15-07-2016 21:32
634,City,Trip Completed,11-07-2016 12:25,11-07-2016,12,Afternoon,11-07-2016 13:06
939,Airport,Trip Completed,11-07-2016 18:25,11-07-2016,18,Evening,11-07-2016 19:26
2628,Airport,Trip Completed,12-07-2016 22:10,12-07-2016,22,Night,12-07-2016 23:25
3021,City,Trip Completed,13-07-2016 07:33,13-07-2016,7,Early Morning,13-07-2016 08:26
4743,City,Trip Completed,14-07-2016 14:54,14-07-2016,14,Afternoon,14-07-2016 15:39
4981,City,Trip Completed,14-07-2016 18:47,14-07-2016,18,Evening,14-07-2016 19:43
5367,Airport,Trip Completed,14-07-2016 23:35,14-07-2016,23,Night,15-07-2016 00:25
5471,Airport,Trip Completed,15-07-2016 04:48,15-07-2016,4,Early Morning,15-07-2016 05:47
5988,Airport,Trip Completed,15-07-2016 11:48,15-07-2016,11,Morning,15-07-2016 12:55
6477,Airport,Trip Completed,15-07-2016 20:21,15-07-2016,20,Night,15-07-2016 21:00
499,City,Trip Completed,11-07-2016 09:39,11-07-2016,9,Morning,11-07-2016 10:16
1147,Airport,Trip Completed,11-07-2016 20:42,11-07-2016,20,Night,11-07-2016 21:18
1410,Airport,Trip Completed,12-07-2016 03:14,12-07-2016,3,Late Night,12-07-2016 04:27
1804,Airport,Trip Completed,12-07-2016 09:12,12-07-2016,9,Morning,12-07-2016 09:57
1949,Airport,Trip Completed,12-07-2016 11:32,12-07-2016,11,Morning,12-07-2016 12:13
2713,City,Trip Completed,13-07-2016 01:46,13-07-2016,1,Late Night,13-07-2016 02:37
2845,City,Trip Completed,13-07-2016 05:28,13-07-2016,5,Early Morning,13-07-2016 06:10
3943,Airport,Trip Completed,13-07-2016 22:35,13-07-2016,22,Night,13-07-2016 23:33
4792,City,Trip Completed,14-07-2016 16:47,14-07-2016,16,Evening,14-07-2016 17:34
5207,Airport,Trip Completed,14-07-2016 20:57,14-07-2016,20,Night,14-07-2016 21:56
5890,City,Trip Completed,15-07-2016 09:43,15-07-2016,9,Morning,15-07-2016 10:55
494,City,Trip Completed,11-07-2016 09:36,11-07-2016,9,Morning,11-07-2016 10:02
1485,City,Trip Completed,12-07-2016 05:21,12-07-2016,5,Early Morning,12-07-2016 06:35
2042,City,Trip Completed,12-07-2016 14:30,12-07-2016,14,Afternoon,12-07-2016 15:09
2561,Airport,Trip Completed,12-07-2016 21:29,12-07-2016,21,Night,12-07-2016 22:44
3813,Airport,Trip Completed,13-07-2016 21:06,13-07-2016,21,Night,13-07-2016 21:46
4260,Airport,Trip Completed,14-07-2016 06:11,14-07-2016,6,Early Morning,14-07-2016 06:59
4395,City,Trip Completed,14-07-2016 08:00,14-07-2016,8,Morning,14-07-2016 08:54
5919,City,Trip Completed,15-07-2016 10:03,15-07-2016,10,Morning,15-07-2016 10:59
6002,Airport,Trip Completed,15-07-2016 12:04,15-07-2016,12,Afternoon,15-07-2016 12:53
468,City,Trip Completed,11-07-2016 09:20,11-07-2016,9,Morning,11-07-2016 10:05
693,Airport,Trip Completed,11-07-2016 13:51,11-07-2016,13,Afternoon,11-07-2016 15:01
1178,City,Trip Completed,11-07-2016 21:05,11-07-2016,21,Night,11-07-2016 22:06
2103,City,Trip Completed,12-07-2016 16:08,12-07-2016,16,Evening,12-07-2016 17:18
2292,Airport,Trip Completed,12-07-2016 18:46,12-07-2016,18,Evening,12-07-2016 19:23
3339,City,Trip Completed,13-07-2016 12:40,13-07-2016,12,Afternoon,13-07-2016 13:30
3694,City,Trip Completed,13-07-2016 19:33,13-07-2016,19,Evening,13-07-2016 20:35
4469,City,Trip Completed,14-07-2016 08:45,14-07-2016,8,Morning,14-07-2016 09:48
6432,City,Trip Completed,15-07-2016 19:50,15-07-2016,19,Evening,15-07-2016 20:30
1895,City,Trip Completed,12-07-2016 10:20,12-07-2016,10,Morning,12-07-2016 10:52
1981,Airport,Trip Completed,12-07-2016 12:23,12-07-2016,12,Afternoon,12-07-2016 12:56
3744,Airport,Trip Completed,13-07-2016 20:28,13-07-2016,20,Night,13-07-2016 21:22
4433,Airport,Trip Completed,14-07-2016 08:26,14-07-2016,8,Morning,14-07-2016 09:12
6039,Airport,Trip Completed,15-07-2016 13:11,15-07-2016,13,Afternoon,15-07-2016 13:38
6543,City,Trip Completed,15-07-2016 20:54,15-07-2016,20,Night,15-07-2016 22:12
110,City,Trip Completed,11-07-2016 05:05,11-07-2016,5,Early Morning,11-07-2016 06:06
362,City,Trip Completed,11-07-2016 08:01,11-07-2016,8,Morning,11-07-2016 09:18
666,Airport,Trip Completed,11-07-2016 13:02,11-07-2016,13,Afternoon,11-07-2016 13:45
926,City,Trip Completed,11-07-2016 18:28,11-07-2016,18,Evening,11-07-2016 19:34
1180,Airport,Trip Completed,11-07-2016 21:01,11-07-2016,21,Night,11-07-2016 22:14
1900,City,Trip Completed,12-07-2016 10:32,12-07-2016,10,Morning,12-07-2016 11:42
2506,City,Trip Completed,12-07-2016 21:01,12-07-2016,21,Night,12-07-2016 21:38
3064,City,Trip Completed,13-07-2016 08:02,13-07-2016,8,Morning,13-07-2016 08:58
3327,Airport,Trip Completed,13-07-2016 12:24,13-07-2016,12,Afternoon,13-07-2016 13:23
3601,City,Trip Completed,13-07-2016 18:39,13-07-2016,18,Evening,13-07-2016 19:29
4768,Airport,Trip Completed,14-07-2016 15:39,14-07-2016,15,Afternoon,14-07-2016 16:49
5142,City,Trip Completed,14-07-2016 20:17,14-07-2016,20,Night,14-07-2016 20:48
5366,Airport,Trip Completed,14-07-2016 23:27,14-07-2016,23,Night,15-07-2016 00:19
5575,City,Trip Completed,15-07-2016 05:53,15-07-2016,5,Early Morning,15-07-2016 06:50
5902,City,Trip Completed,15-07-2016 09:52,15-07-2016,9,Morning,15-07-2016 10:37
6694,Airport,Trip Completed,15-07-2016 22:45,15-07-2016,22,Night,15-07-2016 23:17
523,Airport,Trip Completed,11-07-2016 09:48,11-07-2016,9,Morning,11-07-2016 10:37
747,City,Trip Completed,11-07-2016 15:53,11-07-2016,15,Afternoon,11-07-2016 16:43
1371,Airport,Trip Completed,12-07-2016 00:22,12-07-2016,0,Late Night,12-07-2016 01:33
1553,City,Trip Completed,12-07-2016 06:09,12-07-2016,6,Early Morning,12-07-2016 07:09
1692,Airport,Trip Completed,12-07-2016 07:52,12-07-2016,7,Early Morning,12-07-2016 09:01
2114,City,Trip Completed,12-07-2016 16:36,12-07-2016,16,Evening,12-07-2016 17:21
2742,City,Trip Completed,13-07-2016 03:07,13-07-2016,3,Late Night,13-07-2016 03:51
4273,City,Trip Completed,14-07-2016 06:17,14-07-2016,6,Early Morning,14-07-2016 07:02
4668,City,Trip Completed,14-07-2016 12:25,14-07-2016,12,Afternoon,14-07-2016 13:34
5425,City,Trip Completed,15-07-2016 02:23,15-07-2016,2,Late Night,15-07-2016 03:08
5488,City,Trip Completed,15-07-2016 04:53,15-07-2016,4,Early Morning,15-07-2016 06:00
5781,City,Trip Completed,15-07-2016 08:35,15-07-2016,8,Morning,15-07-2016 09:42
5966,Airport,Trip Completed,15-07-2016 10:54,15-07-2016,10,Morning,15-07-2016 11:58
6122,City,Trip Completed,15-07-2016 15:26,15-07-2016,15,Afternoon,15-07-2016 16:29
357,Airport,Trip Completed,11-07-2016 08:00,11-07-2016,8,Morning,11-07-2016 09:08
1068,City,Trip Completed,11-07-2016 19:52,11-07-2016,19,Evening,11-07-2016 20:48
2689,Airport,Trip Completed,13-07-2016 00:34,13-07-2016,0,Late Night,13-07-2016 01:49
2791,City,Trip Completed,13-07-2016 04:56,13-07-2016,4,Early Morning,13-07-2016 05:33
3321,City,Trip Completed,13-07-2016 12:23,13-07-2016,12,Afternoon,13-07-2016 13:25
3423,Airport,Trip Completed,13-07-2016 15:52,13-07-2016,15,Afternoon,13-07-2016 16:50
3761,Airport,Trip Completed,13-07-2016 20:35,13-07-2016,20,Night,13-07-2016 21:39
4140,City,Trip Completed,14-07-2016 04:48,14-07-2016,4,Early Morning,14-07-2016 06:05
4656,City,Trip Completed,14-07-2016 12:06,14-07-2016,12,Afternoon,14-07-2016 12:49
4931,Airport,Trip Completed,14-07-2016 18:21,14-07-2016,18,Evening,14-07-2016 18:54
5268,City,Trip Completed,14-07-2016 21:29,14-07-2016,21,Night,14-07-2016 22:30
5811,City,Trip Completed,15-07-2016 08:46,15-07-2016,8,Morning,15-07-2016 09:26
6139,Airport,Trip Completed,15-07-2016 15:45,15-07-2016,15,Afternoon,15-07-2016 16:40
6333,Airport,Trip Completed,15-07-2016 18:41,15-07-2016,18,Evening,15-07-2016 19:53
773,City,Trip Completed,11-07-2016 16:23,11-07-2016,16,Evening,11-07-2016 17:21
1123,City,Trip Completed,11-07-2016 20:20,11-07-2016,20,Night,11-07-2016 21:18
2667,Airport,Trip Completed,12-07-2016 23:35,12-07-2016,23,Night,13-07-2016 00:40
2833,City,Trip Completed,13-07-2016 05:27,13-07-2016,5,Early Morning,13-07-2016 06:19
3396,City,Trip Completed,13-07-2016 14:59,13-07-2016,14,Afternoon,13-07-2016 15:57
3590,City,Trip Completed,13-07-2016 18:31,13-07-2016,18,Evening,13-07-2016 19:31
3762,City,Trip Completed,13-07-2016 20:38,13-07-2016,20,Night,13-07-2016 21:21
4566,City,Trip Completed,14-07-2016 09:48,14-07-2016,9,Morning,14-07-2016 10:22
4862,City,Trip Completed,14-07-2016 17:37,14-07-2016,17,Evening,14-07-2016 18:41
5564,Airport,Trip Completed,15-07-2016 05:41,15-07-2016,5,Early Morning,15-07-2016 06:53
6187,City,Trip Completed,15-07-2016 17:11,15-07-2016,17,Evening,15-07-2016 18:08
6642,City,Trip Completed,15-07-2016 22:07,15-07-2016,22,Night,15-07-2016 22:54
322,City,Trip Completed,11-07-2016 07:31,11-07-2016,7,Early Morning,11-07-2016 08:10
793,City,Trip Completed,11-07-2016 17:04,11-07-2016,17,Evening,11-07-2016 18:06
898,Airport,Trip Completed,11-07-2016 18:14,11-07-2016,18,Evening,11-07-2016 19:09
1258,City,Trip Completed,11-07-2016 21:51,11-07-2016,21,Night,11-07-2016 23:00
2832,City,Trip Completed,13-07-2016 05:20,13-07-2016,5,Early Morning,13-07-2016 06:14
3139,City,Trip Completed,13-07-2016 08:54,13-07-2016,8,Morning,13-07-2016 09:22
3438,City,Trip Completed,13-07-2016 16:12,13-07-2016,16,Evening,13-07-2016 17:13
3966,Airport,Trip Completed,13-07-2016 22:50,13-07-2016,22,Night,13-07-2016 23:27
6401,Airport,Trip Completed,15-07-2016 19:33,15-07-2016,19,Evening,15-07-2016 20:16
204,City,Trip Completed,11-07-2016 06:04,11-07-2016,6,Early Morning,11-07-2016 06:44
632,Airport,Trip Completed,11-07-2016 12:20,11-07-2016,12,Afternoon,11-07-2016 13:10
763,City,Trip Completed,11-07-2016 16:19,11-07-2016,16,Evening,11-07-2016 17:25
1786,Airport,Trip Completed,12-07-2016 09:03,12-07-2016,9,Morning,12-07-2016 09:58
1968,City,Trip Completed,12-07-2016 12:10,12-07-2016,12,Afternoon,12-07-2016 12:49
2088,Airport,Trip Completed,12-07-2016 15:51,12-07-2016,15,Afternoon,12-07-2016 17:02
2473,Airport,Trip Completed,12-07-2016 20:43,12-07-2016,20,Night,12-07-2016 21:20
2869,Airport,Trip Completed,13-07-2016 05:50,13-07-2016,5,Early Morning,13-07-2016 06:27
3742,Airport,Trip Completed,13-07-2016 20:24,13-07-2016,20,Night,13-07-2016 20:48
4440,Airport,Trip Completed,14-07-2016 08:26,14-07-2016,8,Morning,14-07-2016 09:00
5234,City,Trip Completed,14-07-2016 21:09,14-07-2016,21,Night,14-07-2016 21:52
6354,Airport,Trip Completed,15-07-2016 18:59,15-07-2016,18,Evening,15-07-2016 19:35
6638,City,Trip Completed,15-07-2016 21:59,15-07-2016,21,Night,15-07-2016 23:13
84,City,Trip Completed,11-07-2016 04:50,11-07-2016,4,Early Morning,11-07-2016 05:26
1199,City,Trip Completed,11-07-2016 21:17,11-07-2016,21,Night,11-07-2016 21:53
1676,Airport,Trip Completed,12-07-2016 07:44,12-07-2016,7,Early Morning,12-07-2016 08:40
2774,City,Trip Completed,13-07-2016 04:33,13-07-2016,4,Early Morning,13-07-2016 05:13
3220,Airport,Trip Completed,13-07-2016 09:51,13-07-2016,9,Morning,13-07-2016 10:24
3718,Airport,Trip Completed,13-07-2016 19:56,13-07-2016,19,Evening,13-07-2016 20:47
4904,Airport,Trip Completed,14-07-2016 18:02,14-07-2016,18,Evening,14-07-2016 18:58
6527,Airport,Trip Completed,15-07-2016 20:54,15-07-2016,20,Night,15-07-2016 21:53
6710,City,Trip Completed,15-07-2016 23:02,15-07-2016,23,Night,16-07-2016 00:12
1584,Airport,Trip Completed,12-07-2016 06:26,12-07-2016,6,Early Morning,12-07-2016 07:18
